"method","n_states","n_t","time","memory"
"cohort trace","22","288","0.20999999999998","3001744"
"cohort trace","22","300","0.260000000000019","3048208"
"cohort trace","22","312","0.269999999999982","3094672"
"cohort trace","22","324","0.210000000000008","3141136"
"cohort trace","22","336","0.230000000000018","3187600"
"cohort trace","22","348","0.230000000000018","3234064"
"cohort trace","22","360","0.21999999999997","3280528"
"cohort trace","22","372","0.21999999999997","3326992"
"cohort trace","22","384","0.240000000000009","3373456"
"cohort trace","22","396","0.240000000000009","3419920"
"cohort trace","22","408","0.25","3466384"
"cohort trace","22","420","0.25","3512848"
"cohort trace","22","432","0.269999999999982","3559312"
"cohort trace","22","444","0.25","3605776"
"cohort trace","22","456","0.270000000000039","3652240"
"cohort trace","22","468","0.260000000000048","3698704"
"cohort trace","22","480","0.29000000000002","3745168"
"cohort trace","22","492","0.279999999999973","3791632"
"cohort trace","22","504","0.28000000000003","3838096"
"cohort trace","22","516","0.300000000000011","3884560"
"cohort trace","22","528","0.300000000000011","3931024"
"cohort trace","22","540","0.310000000000002","3977488"
"cohort trace","22","552","0.310000000000002","4023952"
"cohort trace","22","564","0.329999999999984","4070416"
"cohort trace","22","576","0.310000000000002","4116880"
"cohort trace","22","588","0.350000000000023","4163344"
"cohort trace","22","600","0.349999999999966","4209808"
"cohort trace","22","612","0.339999999999975","4256272"
"cohort trace","22","624","0.340000000000032","4302736"
"cohort trace","22","636","0.379999999999995","4349200"
"cohort trace","22","648","0.360000000000014","4395664"
"cohort trace","22","660","0.370000000000005","4442128"
"cohort trace","22","672","0.390000000000043","4488592"
"cohort trace","22","684","0.370000000000005","4535056"
"cohort trace","22","696","0.379999999999995","4581520"
"cohort trace","22","708","0.399999999999977","4627984"
"cohort trace","22","720","0.389999999999986","4674448"
"cohort trace","22","732","0.399999999999977","4720912"
"cohort trace","22","744","0.410000000000025","4767376"
"cohort trace","22","756","0.399999999999977","4813840"
"cohort trace","22","768","0.420000000000016","4860304"
"cohort trace","22","780","0.420000000000016","4906768"
"cohort trace","22","792","0.420000000000016","4953232"
"cohort trace","22","804","0.420000000000016","4999696"
"cohort trace","22","816","0.439999999999998","5046160"
"cohort trace","22","828","0.449999999999989","5092624"
"cohort trace","22","840","0.439999999999998","5139088"
"cohort trace","22","852","0.449999999999989","5185552"
"cohort trace","22","864","0.45999999999998","5232016"
"cohort trace","22","876","0.480000000000018","5278480"
"cohort trace","22","888","0.480000000000018","5324944"
"cohort trace","22","900","0.480000000000018","5371408"
"cohort trace","22","912","0.480000000000018","5417872"
"cohort trace","22","924","0.46999999999997","5464336"
"cohort trace","22","936","0.489999999999952","5510800"
"cohort trace","22","948","0.489999999999952","5557264"
"cohort trace","22","960","0.5","5603728"
"cohort trace","22","972","0.519999999999982","5650192"
"cohort trace","22","984","0.53000000000003","5696656"
"cohort trace","22","996","0.53000000000003","5743120"
"cohort trace","22","1008","0.520000000000039","5789584"
"cohort trace","22","1020","0.550000000000011","5836048"
"cohort trace","22","1032","0.550000000000011","5882512"
"cohort trace","22","1044","0.569999999999993","5928976"
"cohort trace","22","1056","0.569999999999993","5975440"
"cohort trace","22","1068","0.660000000000025","6021904"
"cohort trace","22","1080","0.579999999999984","6068368"
"cohort trace","22","1092","0.610000000000014","6114832"
"cohort trace","22","1104","0.610000000000014","6161296"
"cohort trace","22","1116","0.610000000000014","6207760"
"cohort trace","22","1128","0.609999999999957","6254224"
"cohort trace","22","1140","0.569999999999993","6300688"
"cohort trace","22","1152","0.579999999999984","6347152"
"cohort trace","22","1164","0.589999999999975","6393616"
"cohort trace","22","1176","0.610000000000014","6440080"
"cohort trace","22","1188","0.610000000000014","6486544"
"cohort trace","22","1200","0.620000000000005","6533008"
"cohort trace","22","1212","0.599999999999966","6579472"
"cohort trace","22","1224","0.610000000000014","6625936"
"cohort trace","22","1236","0.610000000000014","6672400"
"cohort trace","22","1248","0.620000000000005","6718864"
"cohort trace","22","1260","0.649999999999977","6765328"
"cohort trace","22","1272","0.629999999999995","6811792"
"cohort trace","22","1284","0.680000000000007","6858256"
"cohort trace","22","1296","0.649999999999977","6904720"
"cohort trace","22","1308","0.639999999999986","6951184"
"cohort trace","22","1320","0.639999999999986","6997648"
"cohort trace","27","12","0.100000000000023","4339952"
"cohort trace","27","24","0.100000000000023","4409936"
"cohort trace","27","36","0.110000000000014","4479920"
"cohort trace","27","48","0.129999999999995","4549904"
"cohort trace","27","60","0.139999999999986","4619888"
"cohort trace","27","72","0.159999999999968","4689872"
"cohort trace","27","84","0.150000000000034","4759856"
"cohort trace","27","96","0.180000000000007","4829840"
"cohort trace","27","108","0.180000000000007","4899824"
"cohort trace","27","120","0.199999999999989","4969808"
"cohort trace","27","132","0.200000000000045","5039792"
"cohort trace","27","144","0.239999999999952","5109776"
"cohort trace","27","156","0.239999999999952","5179760"
"cohort trace","27","168","0.25","5249744"
"cohort trace","27","180","0.25","5319728"
"cohort trace","27","192","0.279999999999973","5389712"
"cohort trace","27","204","0.28000000000003","5459696"
"cohort trace","27","216","0.319999999999993","5529680"
"cohort trace","27","228","0.329999999999984","5599664"
"cohort trace","27","240","0.329999999999984","5669648"
"cohort trace","27","252","0.340000000000032","5739632"
"cohort trace","27","264","0.359999999999957","5809616"
"cohort trace","27","276","0.370000000000005","5879600"
"cohort trace","27","288","0.389999999999986","5949584"
"cohort trace","27","300","0.399999999999977","6019568"
"cohort trace","27","312","0.410000000000025","6089552"
"cohort trace","27","324","0.420000000000016","6159536"
"cohort trace","27","336","0.439999999999998","6229520"
"cohort trace","27","348","0.46999999999997","6299504"
"cohort trace","27","360","0.470000000000027","6369488"
"cohort trace","27","372","0.479999999999961","6439472"
"cohort trace","27","384","0.5","6509456"
"cohort trace","27","396","0.5","6579440"
"cohort trace","27","408","0.529999999999973","6649424"
"cohort trace","27","420","0.53000000000003","6719408"
"cohort trace","27","432","0.550000000000011","6789392"
"cohort trace","27","444","0.550000000000011","6859376"
"cohort trace","27","456","0.550000000000011","6929360"
"cohort trace","27","468","0.560000000000002","6999344"
"cohort trace","27","480","0.589999999999975","7069328"
"cohort trace","27","492","0.600000000000023","7139312"
"cohort trace","27","504","0.610000000000014","7209296"
"cohort trace","27","516","0.620000000000005","7279280"
"cohort trace","27","528","0.639999999999986","7349264"
"cohort trace","27","540","0.639999999999986","7419248"
"cohort trace","27","552","0.660000000000025","7489232"
"cohort trace","27","564","0.699999999999989","7559216"
"cohort trace","27","576","0.75","7629200"
"cohort trace","27","588","0.909999999999968","7699184"
"cohort trace","27","600","0.779999999999973","7769168"
"cohort trace","27","612","1.02000000000004","7839152"
"cohort trace","27","624","0.980000000000018","7909136"
"cohort trace","27","636","1.01999999999998","7979120"
"cohort trace","27","648","0.930000000000007","8049104"
"cohort trace","27","660","0.939999999999998","8119088"
"cohort trace","27","672","0.939999999999998","8189072"
"cohort trace","27","684","0.829999999999984","8259056"
"cohort trace","27","696","0.859999999999957","8329040"
"cohort trace","27","708","0.899999999999977","8399024"
"cohort trace","27","720","0.930000000000007","8469008"
"cohort trace","27","732","0.910000000000025","8538992"
"cohort trace","27","744","0.96999999999997","8608976"
"cohort trace","27","756","1.13","8678960"
"cohort trace","27","768","1.13999999999999","8748944"
"cohort trace","27","780","1.24000000000001","8818928"
"cohort trace","27","792","0.979999999999961","8888912"
"cohort trace","27","804","1.22000000000003","8958896"
"cohort trace","27","816","1.09000000000003","9028880"
"cohort trace","27","828","1","9098864"
"cohort trace","27","840","1.02999999999997","9168848"
